시도,시군구,총_음식점수,인구수,인구만명당음식점수,경쟁강도_0to100,경쟁강도_등급,음식점다양성_0to100,음식점종류수,최종_경쟁강도_지수
경상북도,문경시,1821,51213,355.57,38.5,낮음 (Low),38.97,8,38.69
서울특별시,마포구,8832,358828,246.13,22.12,낮음 (Low),63.2,8,38.55
서울특별시,용산구,5088,232639,218.71,18.01,매우 낮음 (Very Low),69.04,8,38.42
충청북도,충주시,5796,183484,315.89,32.56,낮음 (Low),46.89,8,38.29
대구광역시,남구,3588,122183,293.66,29.23,낮음 (Low),51.5,8,38.14
전북특별자치도,무주군,607,17518,346.5,37.14,낮음 (Low),38.6,7,37.72
전북특별자치도,임실군,586,17407,336.65,35.67,낮음 (Low),40.72,8,37.69
제주특별자치도,제주시,12366,412873,299.51,30.11,낮음 (Low),48.59,8,37.5
경상북도,포항시 북구,5905,220328,268.01,25.39,낮음 (Low),54.91,8,37.2
부산광역시,강서구,3429,116357,294.7,29.39,낮음 (Low),48.4,8,36.99
경상남도,창원시 성산구,5450,206956,263.34,24.69,낮음 (Low),55.42,8,36.98
충청남도,홍성군,2460,84293,291.84,28.96,낮음 (Low),48.87,8,36.92
전라남도,광양시,3503,115552,303.15,30.65,낮음 (Low),46.2,8,36.87
경상남도,창원시 진해구,4305,158241,272.05,26.0,낮음 (Low),52.55,8,36.62
부산광역시,연제구,4537,164002,276.64,26.68,낮음 (Low),51.5,8,36.61
전라남도,무안군,1856,64820,286.33,28.14,낮음 (Low),49.11,8,36.53
경상북도,영주시,2469,80883,305.26,30.97,낮음 (Low),44.81,8,36.51
경상남도,밀양시,2650,82506,321.19,33.35,낮음 (Low),41.19,8,36.49
충청북도,청주시 상당구,4509,157363,286.53,28.17,낮음 (Low),48.84,8,36.44
충청남도,공주시,2695,84211,320.03,33.18,낮음 (Low),41.29,8,36.42
경상남도,진주시,8164,293758,277.92,26.88,낮음 (Low),50.65,8,36.39
전북특별자치도,군산시,6055,223074,271.43,25.9,낮음 (Low),51.87,8,36.29
충청북도,청주시 흥덕구,6704,235022,285.25,27.97,낮음 (Low),48.57,8,36.21
경상북도,구미시,9817,346124,283.63,27.73,낮음 (Low),48.65,8,36.1
경상북도,안동시,3845,127302,302.04,30.49,낮음 (Low),44.46,8,36.08
강원특별자치도,홍천군,1870,54949,340.32,36.22,낮음 (Low),35.68,8,36.0
울산광역시,동구,3414,132705,257.26,23.78,낮음 (Low),54.01,8,35.87
경상남도,창녕군,1530,49302,310.33,31.73,낮음 (Low),41.94,8,35.81
충청북도,보은군,817,23642,345.57,37.0,낮음 (Low),33.79,7,35.72
경상남도,거창군,1415,47060,300.68,30.28,낮음 (Low),43.73,8,35.66
충청남도,서천군,1193,41530,287.26,28.27,낮음 (Low),46.73,8,35.65
강원특별자치도,원주시,8616,292730,294.33,29.33,낮음 (Low),45.0,8,35.6
경상남도,양산시,7677,288196,266.38,25.15,낮음 (Low),50.83,8,35.42
울산광역시,중구,4441,171774,258.54,23.97,낮음 (Low),52.44,8,35.36
부산광역시,동래구,5536,220026,251.61,22.94,낮음 (Low),53.97,8,35.35
충청북도,옥천군,1168,37900,308.18,31.41,낮음 (Low),41.09,8,35.28
경상남도,고성군,1203,42330,284.2,27.82,낮음 (Low),46.31,8,35.22
부산광역시,금정구,4931,200407,246.05,22.1,낮음 (Low),54.87,8,35.21
부산광역시,해운대구,7194,322177,223.29,18.7,매우 낮음 (Very Low),59.95,8,35.2
전라남도,순천시,6129,225126,272.25,26.03,낮음 (Low),48.7,8,35.1
충청남도,천안시 서북구,9171,357585,256.47,23.66,낮음 (Low),52.23,8,35.09
충청북도,청주시 청원구,4733,169175,279.77,27.15,낮음 (Low),46.94,8,35.07
강원특별자치도,춘천시,6791,242459,280.09,27.2,낮음 (Low),46.73,8,35.01
경상북도,경산시,6021,240189,250.68,22.8,낮음 (Low),52.8,8,34.8
경상남도,창원시 마산회원구,3715,152293,243.94,21.79,낮음 (Low),54.21,8,34.76
충청남도,서산시,4058,148547,273.18,26.17,낮음 (Low),47.63,8,34.75
울산광역시,울주군,5461,191157,285.68,28.04,낮음 (Low),44.75,8,34.72
경상남도,함양군,901,28600,315.03,32.43,낮음 (Low),38.11,8,34.7
대구광역시,북구,9478,372628,254.36,23.35,낮음 (Low),51.32,8,34.54
대전광역시,중구,5302,197364,268.64,25.49,낮음 (Low),48.03,8,34.51
대전광역시,서구,9558,407719,234.43,20.37,낮음 (Low),55.43,8,34.39
경상남도,창원시 의창구,4474,175804,254.49,23.37,낮음 (Low),50.86,8,34.37
전라남도,신안군,649,25089,258.68,24.0,낮음 (Low),49.43,8,34.17
부산광역시,서구,1969,86095,228.7,19.51,매우 낮음 (Very Low),56.15,8,34.17
충청북도,진천군,2460,80134,306.99,31.23,낮음 (Low),38.51,8,34.14
전북특별자치도,남원시,1867,61146,305.33,30.98,낮음 (Low),38.75,8,34.09
경상북도,칠곡군,2944,103122,285.49,28.01,낮음 (Low),43.14,8,34.06
울산광역시,북구,4010,170313,235.45,20.52,낮음 (Low),54.18,8,33.98
전북특별자치도,전주시 완산구,7436,290497,255.98,23.59,낮음 (Low),49.32,8,33.88
전북특별자치도,익산시,5648,227209,248.58,22.48,낮음 (Low),50.87,8,33.84
충청북도,청주시 서원구,4250,170053,249.92,22.68,낮음 (Low),50.42,8,33.78
경기도,수원시 팔달구,4266,188400,226.43,19.17,매우 낮음 (Very Low),55.65,8,33.76
경상남도,김해시,12184,489277,249.02,22.55,낮음 (Low),50.53,8,33.74
경상남도,산청군,791,26497,298.52,29.96,낮음 (Low),39.41,8,33.74
부산광역시,영도구,1955,84722,230.75,19.81,매우 낮음 (Very Low),54.61,8,33.73
전라남도,영광군,1023,37154,275.34,26.49,낮음 (Low),44.5,8,33.69
충청북도,음성군,2974,102171,291.08,28.85,낮음 (Low),40.92,8,33.68
충청북도,영동군,1065,35303,301.67,30.43,낮음 (Low),38.33,8,33.59
경상북도,김천시,3093,112759,274.3,26.33,낮음 (Low),43.83,8,33.33
충청남도,금산군,1253,42169,297.14,29.75,낮음 (Low),38.68,8,33.32
광주광역시,서구,6192,247014,250.67,22.8,낮음 (Low),49.06,8,33.3
경기도,고양시 일산동구,5627,264129,213.04,17.16,매우 낮음 (Very Low),57.41,8,33.26
대전광역시,유성구,7540,323498,233.08,20.16,낮음 (Low),52.89,8,33.25
강원특별자치도,영월군,868,28448,305.12,30.95,낮음 (Low),36.57,8,33.2
부산광역시,남구,4767,226787,210.2,16.74,매우 낮음 (Very Low),57.66,8,33.11
대구광역시,수성구,7363,339829,216.67,17.71,매우 낮음 (Very Low),56.06,8,33.05
대구광역시,서구,4151,150462,275.88,26.57,낮음 (Low),42.74,8,33.04
충청남도,청양군,719,23715,303.18,30.66,낮음 (Low),36.57,8,33.02
전라남도,장흥군,801,28522,280.84,27.31,낮음 (Low),41.53,7,33.0
충청남도,예산군,1978,64744,305.51,31.01,낮음 (Low),35.91,8,32.97
강원특별자치도,횡성군,1126,37841,297.56,29.82,낮음 (Low),37.2,8,32.77
충청남도,논산시,2811,101723,276.34,26.64,낮음 (Low),41.83,8,32.72
충청남도,천안시 동남구,5672,230938,245.61,22.04,낮음 (Low),48.44,8,32.6
경상남도,함안군,1499,56821,263.81,24.76,낮음 (Low),44.18,8,32.53
전라남도,진도군,692,25604,270.27,25.73,낮음 (Low),42.37,8,32.39
대전광역시,대덕구,3738,151570,246.62,22.19,낮음 (Low),47.57,8,32.34
전라남도,고흥군,1206,49618,243.06,21.66,낮음 (Low),48.31,8,32.32
경상남도,의령군,553,19931,277.46,26.81,낮음 (Low),40.54,7,32.3
전북특별자치도,전주시 덕진구,5812,271966,213.7,17.26,매우 낮음 (Very Low),54.82,8,32.28
경상북도,영천시,2228,82185,271.1,25.86,낮음 (Low),41.88,8,32.27
서울특별시,서초구,7538,375856,200.56,15.29,매우 낮음 (Very Low),57.7,8,32.25
경기도,부천시 원미구,8151,374927,217.4,17.82,매우 낮음 (Very Low),53.88,8,32.24
경상북도,청도군,940,32567,288.64,28.48,낮음 (Low),37.77,8,32.2
충청북도,괴산군,937,30071,311.6,31.92,낮음 (Low),32.56,8,32.18
경기도,이천시,4334,191841,225.92,19.09,매우 낮음 (Very Low),51.64,8,32.11
전북특별자치도,고창군,1060,42430,249.82,22.67,낮음 (Low),46.24,8,32.1
경기도,평택시,11252,499258,225.37,19.01,매우 낮음 (Very Low),51.68,8,32.08
경상북도,상주시,1953,72365,269.88,25.67,낮음 (Low),41.62,8,32.05
부산광역시,사하구,5212,256345,203.32,15.71,매우 낮음 (Very Low),56.06,8,31.85
전북특별자치도,순창군,541,19724,274.29,26.33,낮음 (Low),39.67,8,31.67
전라남도,보성군,804,30033,267.71,25.35,낮음 (Low),41.09,8,31.65
전라남도,강진군,699,26094,267.88,25.37,낮음 (Low),40.86,8,31.57
전라남도,해남군,1335,55354,241.17,21.37,낮음 (Low),46.83,8,31.55
인천광역시,남동구,9199,434047,211.94,17.0,매우 낮음 (Very Low),53.19,8,31.48
전라남도,나주시,2411,93658,257.43,23.81,낮음 (Low),42.89,8,31.44
대전광역시,동구,4639,206642,224.49,18.88,매우 낮음 (Very Low),50.18,8,31.4
경상북도,예천군,1023,42994,237.94,20.89,낮음 (Low),46.83,8,31.27
대구광역시,달서구,11159,488750,228.32,19.45,매우 낮음 (Very Low),48.94,8,31.25
부산광역시,사상구,4289,187056,229.29,19.6,매우 낮음 (Very Low),48.56,8,31.18
광주광역시,광산구,7813,361189,216.31,17.65,매우 낮음 (Very Low),51.34,8,31.13
경기도,구리시,3149,161231,195.31,14.51,매우 낮음 (Very Low),55.68,8,30.98
경기도,여주시,2564,96681,265.2,24.97,낮음 (Low),39.98,8,30.97
경기도,동두천시,1812,77576,233.58,20.24,낮음 (Low),47.03,8,30.96
충청남도,아산시,7273,322869,225.26,18.99,매우 낮음 (Very Low),48.88,8,30.95
광주광역시,남구,3185,162937,195.47,14.53,매우 낮음 (Very Low),55.57,8,30.95
경상북도,의성군,859,36095,237.98,20.9,낮음 (Low),46.01,7,30.94
전북특별자치도,장수군,423,15717,269.14,25.56,낮음 (Low),38.89,7,30.89
경기도,양주시,4705,197296,238.47,20.97,낮음 (Low),45.52,8,30.79
충청남도,부여군,1355,51509,263.06,24.65,낮음 (Low),39.92,8,30.76
경기도,포천시,4120,150323,274.08,26.3,낮음 (Low),37.25,8,30.68
전북특별자치도,정읍시,2166,86513,250.37,22.75,낮음 (Low),42.4,8,30.61
경기도,성남시 분당구,6590,417813,157.73,8.88,매우 낮음 (Very Low),63.15,8,30.59
충청남도,계룡시,762,35451,214.94,17.45,매우 낮음 (Very Low),50.15,8,30.53
인천광역시,연수구,5839,345326,169.09,10.58,매우 낮음 (Very Low),60.15,8,30.41
경상남도,합천군,828,32832,252.19,23.02,낮음 (Low),41.27,7,30.32
전라남도,담양군,1024,34533,296.53,29.66,낮음 (Low),31.03,8,30.21
서울특별시,광진구,6258,346378,180.67,12.32,매우 낮음 (Very Low),56.91,8,30.16
전북특별자치도,완주군,2028,82885,244.68,21.9,낮음 (Low),42.51,8,30.14
경기도,의정부시,7948,392846,202.32,15.56,매우 낮음 (Very Low),51.54,8,29.95
서울특별시,영등포구,8254,427492,193.08,14.17,매우 낮음 (Very Low),53.55,8,29.92
서울특별시,서대문구,4896,307060,159.45,9.14,매우 낮음 (Very Low),60.99,8,29.88
대구광역시,동구,5715,287258,198.95,15.05,매우 낮음 (Very Low),52.11,8,29.87
대구광역시,군위군,470,17367,270.63,25.78,낮음 (Low),35.93,7,29.84
대구광역시,달성군,4456,209964,212.23,17.04,매우 낮음 (Very Low),48.78,8,29.74
전북특별자치도,김제시,1569,63253,248.05,22.4,낮음 (Low),40.69,8,29.72
부산광역시,북구,4208,235809,178.45,11.98,매우 낮음 (Very Low),55.98,8,29.58
전라남도,곡성군,497,20121,247.01,22.25,낮음 (Low),40.41,7,29.51
광주광역시,북구,6806,372753,182.59,12.6,매우 낮음 (Very Low),54.74,8,29.46
인천광역시,미추홀구,7179,372774,192.58,14.1,매우 낮음 (Very Low),52.34,8,29.4
경기도,안산시 단원구,6744,363895,185.33,13.01,매우 낮음 (Very Low),53.85,8,29.35
서울특별시,강북구,5132,262562,195.46,14.53,매우 낮음 (Very Low),51.45,8,29.3
인천광역시,서구,9195,492648,186.64,13.21,매우 낮음 (Very Low),53.33,8,29.26
경기도,파주시,8275,393186,210.46,16.78,매우 낮음 (Very Low),47.84,8,29.2
서울특별시,성동구,4645,273609,169.77,10.68,매우 낮음 (Very Low),56.96,8,29.19
경상북도,봉화군,565,22036,256.4,23.65,낮음 (Low),37.1,8,29.03
경상북도,성주군,970,37481,258.8,24.01,낮음 (Low),36.56,8,29.03
인천광역시,계양구,4462,237203,188.11,13.43,매우 낮음 (Very Low),52.35,8,29.0
경기도,안성시,4255,185720,229.11,19.57,매우 낮음 (Very Low),42.64,8,28.8
경기도,화성시,14752,815416,180.91,12.35,매우 낮음 (Very Low),53.0,8,28.61
서울특별시,강서구,8874,505859,175.42,11.53,매우 낮음 (Very Low),53.9,8,28.48
서울특별시,강동구,6391,390190,163.79,9.79,매우 낮음 (Very Low),55.95,8,28.25
경기도,안양시 동안구,4205,273506,153.74,8.29,매우 낮음 (Very Low),58.05,8,28.19
서울특별시,동작구,4570,370929,123.2,3.71,매우 낮음 (Very Low),64.83,8,28.16
경기도,용인시 처인구,4626,232447,199.01,15.06,매우 낮음 (Very Low),47.78,8,28.15
경기도,양평군,2281,95574,238.66,21.0,낮음 (Low),38.6,8,28.04
경상북도,영양군,261,11783,221.51,18.43,매우 낮음 (Very Low),42.12,7,27.91
서울특별시,송파구,8457,592432,142.75,6.64,매우 낮음 (Very Low),59.73,8,27.88
경기도,수원시 영통구,4837,313542,154.27,8.36,매우 낮음 (Very Low),57.08,8,27.85
경기도,성남시 중원구,3280,188753,173.77,11.28,매우 낮음 (Very Low),52.6,8,27.81
전북특별자치도,진안군,431,17448,247.02,22.25,낮음 (Low),35.54,8,27.57
경기도,김포시,7197,432947,166.23,10.15,매우 낮음 (Very Low),53.65,8,27.55
전라남도,영암군,1224,57881,211.47,16.93,매우 낮음 (Very Low),43.42,8,27.53
전라남도,화순군,1136,48851,232.54,20.08,낮음 (Low),38.67,8,27.52
경기도,수원시 장안구,3664,235754,155.42,8.54,매우 낮음 (Very Low),55.97,8,27.51
인천광역시,부평구,7373,452658,162.88,9.65,매우 낮음 (Very Low),54.2,8,27.47
경기도,시흥시,8733,478540,182.49,12.59,매우 낮음 (Very Low),49.59,8,27.39
경기도,오산시,3690,214751,171.83,10.99,매우 낮음 (Very Low),51.8,8,27.31
경상북도,고령군,673,29118,231.13,19.87,매우 낮음 (Very Low),38.44,8,27.3
경기도,고양시 일산서구,3443,257475,133.72,5.29,매우 낮음 (Very Low),60.25,8,27.27
경기도,안양시 만안구,3330,207258,160.67,9.32,매우 낮음 (Very Low),54.15,8,27.25
전라남도,함평군,489,23051,212.14,17.03,매우 낮음 (Very Low),42.12,7,27.07
경기도,안산시 상록구,4913,314435,156.25,8.66,매우 낮음 (Very Low),54.52,8,27.0
서울특별시,관악구,7091,494294,143.46,6.75,매우 낮음 (Very Low),57.36,8,26.99
서울특별시,금천구,4324,252871,171.0,10.87,매우 낮음 (Very Low),51.15,8,26.98
인천광역시,동구,896,53414,167.75,10.38,매우 낮음 (Very Low),51.86,8,26.97
서울특별시,동대문구,5602,357334,156.77,8.74,매우 낮음 (Very Low),53.82,8,26.77
경기도,성남시 수정구,3353,230378,145.54,7.06,매우 낮음 (Very Low),56.11,8,26.68
경기도,고양시 덕양구,6487,399362,162.43,9.59,매우 낮음 (Very Low),52.11,8,26.6
서울특별시,노원구,5449,428220,127.25,4.32,매우 낮음 (Very Low),59.94,8,26.57
경기도,남양주시,9757,583645,167.17,10.3,매우 낮음 (Very Low),50.85,8,26.52
경기도,군포시,3330,237374,140.28,6.27,매우 낮음 (Very Low),56.63,8,26.41
서울특별시,성북구,5170,413590,125.0,3.98,매우 낮음 (Very Low),59.85,8,26.33
서울특별시,양천구,4635,376245,123.19,3.71,매우 낮음 (Very Low),59.49,8,26.02
경기도,수원시 권선구,4927,319059,154.42,8.39,매우 낮음 (Very Low),52.24,8,25.93
경기도,하남시,3791,250805,151.15,7.9,매우 낮음 (Very Low),52.73,8,25.83
서울특별시,은평구,5799,396463,146.27,7.17,매우 낮음 (Very Low),53.6,8,25.74
경기도,광주시,5621,334794,167.89,10.4,매우 낮음 (Very Low),48.58,8,25.67
전라남도,장성군,730,31852,229.18,19.58,매우 낮음 (Very Low),34.7,8,25.63
경기도,광명시,3318,234325,141.6,6.47,매우 낮음 (Very Low),53.92,8,25.45
서울특별시,구로구,5928,425199,139.42,6.14,매우 낮음 (Very Low),54.41,8,25.45
서울특별시,도봉구,3765,270437,139.22,6.11,매우 낮음 (Very Low),54.44,8,25.44
경기도,부천시 오정구,2060,138583,148.65,7.52,매우 낮음 (Very Low),52.2,8,25.39
경기도,부천시 소사구,2623,214868,122.07,3.54,매우 낮음 (Very Low),58.16,8,25.39
서울특별시,중랑구,5308,339354,156.41,8.68,매우 낮음 (Very Low),50.31,8,25.33
경기도,용인시 기흥구,4597,380340,120.87,3.36,매우 낮음 (Very Low),57.34,8,24.95
경기도,용인시 수지구,3087,313720,98.4,0.0,매우 낮음 (Very Low),61.71,8,24.68
경기도,과천시,616,55820,110.35,1.79,매우 낮음 (Very Low),57.99,8,24.27
경기도,의왕시,1525,127207,119.88,3.22,매우 낮음 (Very Low),52.31,8,22.86
